  ip_max      load      disp      peeq  pressure   svmises     triax    eps_cr   csr_max
     800  6.75e+05  1.42e+00  2.23e-02  3.86e+02  2.40e+02  1.61e+00  3.68e-02  6.05e-01
     800  6.74e+05  1.43e+00  2.26e-02  3.84e+02  2.40e+02  1.60e+00  3.73e-02  6.06e-01
     800  6.73e+05  1.45e+00  2.29e-02  3.82e+02  2.40e+02  1.59e+00  3.78e-02  6.06e-01
     800  6.72e+05  1.47e+00  2.32e-02  3.80e+02  2.40e+02  1.58e+00  3.83e-02  6.06e-01
     800  6.70e+05  1.48e+00  2.35e-02  3.78e+02  2.40e+02  1.57e+00  3.88e-02  6.05e-01
     800  6.69e+05  1.50e+00  2.38e-02  3.76e+02  2.40e+02  1.56e+00  3.94e-02  6.04e-01
     800  6.68e+05  1.52e+00  2.41e-02  3.73e+02  2.40e+02  1.55e+00  4.00e-02  6.03e-01
     800  6.66e+05  1.54e+00  2.44e-02  3.71e+02  2.40e+02  1.54e+00  4.07e-02  6.01e-01
     800  6.65e+05  1.55e+00  2.47e-02  3.68e+02  2.40e+02  1.53e+00  4.13e-02  5.99e-01
     800  6.64e+05  1.57e+00  2.50e-02  3.65e+02  2.40e+02  1.52e+00  4.20e-02  5.96e-01
     800  6.62e+05  1.59e+00  2.53e-02  3.63e+02  2.40e+02  1.51e+00  4.27e-02  5.93e-01
     800  6.61e+05  1.61e+00  2.56e-02  3.60e+02  2.40e+02  1.50e+00  4.35e-02  5.90e-01
     800  6.59e+05  1.62e+00  2.59e-02  3.57e+02  2.40e+02  1.49e+00  4.43e-02  5.86e-01
     800  6.58e+05  1.64e+00  2.62e-02  3.54e+02  2.40e+02  1.47e+00  4.51e-02  5.82e-01
     800  6.56e+05  1.66e+00  2.65e-02  3.51e+02  2.40e+02  1.46e+00  4.60e-02  5.77e-01
     800  6.55e+05  1.67e+00  2.68e-02  3.48e+02  2.40e+02  1.45e+00  4.69e-02  5.73e-01
     800  6.53e+05  1.69e+00  2.72e-02  3.45e+02  2.40e+02  1.44e+00  4.78e-02  5.68e-01
     800  6.52e+05  1.71e+00  2.75e-02  3.41e+02  2.40e+02  1.42e+00  4.88e-02  5.62e-01
     800  6.50e+05  1.72e+00  2.78e-02  3.38e+02  2.40e+02  1.41e+00  4.98e-02  5.57e-01
     800  6.49e+05  1.74e+00  2.81e-02  3.35e+02  2.40e+02  1.39e+00  5.09e-02  5.51e-01
     800  6.47e+05  1.76e+00  2.84e-02  3.31e+02  2.40e+02  1.38e+00  5.20e-02  5.45e-01
     800  6.46e+05  1.78e+00  2.87e-02  3.28e+02  2.40e+02  1.37e+00  5.32e-02  5.39e-01
     800  6.44e+05  1.79e+00  2.90e-02  3.24e+02  2.40e+02  1.35e+00  5.44e-02  5.33e-01
     800  6.42e+05  1.81e+00  2.93e-02  3.20e+02  2.40e+02  1.34e+00  5.56e-02  5.26e-01
     800  6.41e+05  1.83e+00  2.96e-02  3.17e+02  2.40e+02  1.32e+00  5.69e-02  5.19e-01
     800  6.39e+05  1.84e+00  2.99e-02  3.13e+02  2.40e+02  1.30e+00  5.83e-02  5.12e-01
     800  6.37e+05  1.86e+00  3.02e-02  3.09e+02  2.40e+02  1.29e+00  5.97e-02  5.05e-01
